zotuID,AF_T1_0,AF_T2_0,AF_T3_0,AF_T1_2,AF_T2_2,AF_T3_2,AF_T1_100,AF_T2_100,AF_T3_100,AF_T1_102,AF_T2_102,AF_T3_102,AF_T1_200,AF_T2_200,AF_T3_200,AF_T1_202,AF_T2_202,AF_T3_202,OW_T1_0,OW_T2_0,OW_T3_0,OW_T1_2,OW_T2_2,OW_T3_2,OW_T1_100,OW_T2_100,OW_T3_100,OW_T1_102,OW_T2_102,OW_T3_102,OW_T1_200,OW_T2_200,OW_T3_200,OW_T1_202,OW_T2_202,OW_T3_202,RL_T1_0,RL_T2_0,RL_T3_0,RL_T1_2,RL_T2_2,RL_T3_2,RL_T1_100,RL_T2_100,RL_T3_100,RL_T1_102,RL_T2_102,RL_T3_102,RL_T1_200,RL_T2_200,RL_T3_200,RL_T1_202,RL_T2_202,RL_T3_202,HV_T1_0,HV_T2_0,HV_T3_0,HV_T1_2,HV_T2_2,HV_T3_2,HV_T1_100,HV_T2_100,HV_T3_100,HV_T1_102,HV_T2_102,HV_T3_102,HV_T1_200,HV_T2_200,HV_T3_200,HV_T1_202,HV_T2_202,HV_T3_202
Zotu1,9,20,127,8,199,31,12705,6702,4413,4560,32,55,13608,27,186,9048,5447,3213,1565,8876,30182,20818,552,26491,29,358,198,506,572,185,6,22,1,240,56,0,47,212,9,68,21,28,18736,9881,20253,54,7460,2941,13962,1999,2291,2326,700,2776,6544,5786,4836,3297,6659,2939,7460,8959,566,2013,76,82,4601,2317,5777,5239,6689,5135
Zotu10,10,957,113,13,138,42,3253,3271,3068,2169,253,36,89,16,591,963,732,334,1383,46,318,1210,524,150,5557,6751,6602,1109,1058,6693,3,1,1,4,3,0,1,63,0,11,12,1,1396,20,522,4,2924,41,10,18,8,9,10,37,4494,6167,3867,2031,1742,1056,6,8,9,5,1,0,491,1,1291,3,7,1373
Zotu100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,54,281,13,6,2,30,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Zotu101,1,1,1,1,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,68,77,48,21,1,1,95,0,12,1,0,0,0,0,0,0,82,17,0,71,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,7,5,6,1,93,3,88,56,49,12,8,63,0,0,0,0,0,0,3,6,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu103,4793,22687,27850,7584,26658,21928,100,82,553,7536,7486,2879,119,7368,1541,154,13,143,21986,174,64,29,5903,119,202,47,71,12,39,76,383,6969,25,20899,10344,3471,10859,20636,13614,28011,19214,9506,60,74,23,7607,39,29001,3127,25419,29545,10827,28027,22041,44,95,91,31,42,14,213,93,14183,19922,5200,10750,19,0,12,33,16,4
Zotu104,17,75,87,43,77,81,1,0,0,21,19,2,0,15,7,0,0,1,70,0,0,0,25,0,2,0,0,0,0,0,1,32,0,65,44,12,34,54,32,89,45,22,0,1,0,16,0,87,7,98,104,48,81,70,0,0,0,0,0,0,0,0,48,75,9,25,1,0,0,0,0,0
Zotu105,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,35,0,9,2,0,0,69,0,33,117,37,4,4,129,0,0,0,0,0,0,9,15,5,6,14,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu106,0,0,0,0,2,2,0,2,2,0,0,0,0,0,3,0,0,1,2,3,0,0,46,0,11,3,1,0,0,4,0,0,0,0,1,0,30,64,26,140,195,28,2,0,8,2,1,0,0,9,2,1,1,1,0,0,0,0,0,0,2,2,0,7,4,0,0,0,0,0,0,0
Zotu107,5,4,18,3,37,13,26,12,59,0,4,2,0,2,6,2,0,0,1,14,0,0,1,0,16,0,1,0,2,2,0,0,0,0,0,0,15,24,26,42,129,43,2,1,6,7,13,2,4,22,3,0,13,3,1,0,0,0,5,1,2,0,4,21,1,1,0,0,0,2,0,0
