zotuID,Domain,Phylum,Class,Order,Family,Genus
Zotu1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,uncultured,uncultured_ge
Zotu10,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu100,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu101,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu102,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu103,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu104,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu105,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu106,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu107,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu108,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu109,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu11,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,uncultured,uncultured_ge
Zotu110,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu111,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu112,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu113,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu114,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu115,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu116,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu117,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu118,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu119,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu12,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu120,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu121,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu122,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_Unc
Zotu123,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_Unc
Zotu124,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_Unc
Zotu125,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu126,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu127,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu128,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,uncultured,uncultured_ge
Zotu129,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu13,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,uncultured,uncultured_ge
Zotu130,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu131,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu132,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu133,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Zotu134,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu135,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu136,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu137,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_Unc
Zotu138,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu139,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu14,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu140,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu141,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu142,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriales_Unc,Halobacteriales_Unc
Zotu143,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu144,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu145,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriales_Unc,Halobacteriales_Unc
Zotu146,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halohasta
Zotu147,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu148,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu149,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriales_Unc,Halobacteriales_Unc
Zotu15,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu150,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Zotu151,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu152,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu153,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_Unc
Zotu154,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu155,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu156,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriales_Unc,Halobacteriales_Unc
Zotu157,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu158,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu159,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu16,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina
Zotu160,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu161,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_Unc
Zotu162,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
Zotu163,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu164,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu165,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum
Zotu166,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge
Zotu167,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus
