SampleID,LATI,LONG,ELEV,SLPE,ASPC,DMF,COND,PH,TC,TN,TP,CL,NO2,BR,NO3,PO4,SO4,P,K,CA,MG,ZN,B,S,CU,FE,MN,AL,CECE,MUD,SAND,GRVL,MIN,MAX,MEAN,SO,SIO2,TIO2,AL2O3,FE2O3,MNO,MGO,CAO,NA2O,K2O,P2O5,SO3
AF_T1_0,-68.55162427,78.01818363,4.40517,0.831209,60.1674995,0.99,489,7.1,1061,110,810,489.0860143,0.15,0.15,1.955245711,1.879497693,231.021986,8.994,63.019,149.459,74.419,0.572,2.34,68.949,6.284,138.017,8.255,61.5,25.459,5.660648802,84.59190774,9.74744346,18.61333009,1227.148633,374.9819885,0.459090959,63.042,0.783,13.769,7.869,0.1238,4.22,5.249,3.285,1.386,0.1902,0.034
AF_T1_100,-68.55091815,78.01969416,2.8805599,0.987712,40.9365005,0.941,11700,8.8,5110,160,1300,16778.01821,0.15,25.1006505,54.05626258,0.15,2430.412864,8.856,555.52,6933.7,1572.54,2.669,10.052,1016.77,5.327,379.421,12.892,24.025,127.083,8.261415091,86.96711427,4.771470643,10.83940969,1079.048716,284.3199155,0.434824379,59.301,0.785,12.994,7.837,0.1157,4.06,6.463,4.606,1.421,0.211,0.502
AF_T1_102,-68.5509027,78.01972064,2.8464401,0.983402,39.1427994,0.975,4030,8.6,1002,110,820,4576.274892,0.776064123,5.362352745,11.560852,0.15,1882.581356,5.198,195.016,1194.59,379.756,1.346,3.546,831.844,3.06,265.239,8.242,100.503,44.936,3.299927714,90.66396342,6.036108866,17.98801746,1248.590159,368.9987548,0.444520409,63.382,0.771,13.279,7.912,0.1244,4.162,5.324,3.563,1.343,0.1793,0.322
AF_T1_2,-68.55161007,78.01821664,4.3779998,0.827864,65.0664978,0.987,117,7.8,812.5,78,820,75.82121127,0.15,0.15,0.76,1.507836547,79.10150469,4.6,40.957,136.92,36.946,0.568,0.967,28.536,2.681,183.155,5.138,66.237,23.907,5.190664725,92.62867451,2.180660764,16.09314386,902.6195928,305.8838236,0.557150539,64.542,0.756,13.67,7.289,0.1143,3.875,5.149,3.328,1.372,0.1833,0.017
AF_T1_200,-68.5501738,78.02103134,1.76878,0.370316,310.1010132,0.992,3760,8.1,1742,290,970,4598.193013,0.789280085,5.305999025,54.57235274,3.126567564,1435.980542,34.203,172.64,581.899,696.463,1.192,11.079,643.668,9.621,459.178,4.219,91.076,48.222,7.826246062,67.85013129,24.32362264,35.69584588,1435.755412,624.4426028,0.653577917,61.532,0.84,14.258,7.986,0.1092,4.044,5.223,3.848,1.583,0.2514,0.214
AF_T1_202,-68.5501595,78.02106158,1.76811,0.368125,310.1010132,0.996,1590,7.7,937.9,88,960,0.15,0.15,1.395300576,12.47388854,18.21779373,545.1730242,22.26,83.264,216.96,265.603,1.068,2.809,274.463,3.837,190.017,8.911,76.503,33.255,5.762172478,85.55783858,8.67998894,13.75480979,1148.427673,294.9266433,0.466417767,64.073,0.713,14.354,6.967,0.1037,3.73,5.007,3.66,1.618,0.1857,0.095
AF_T2_0,-68.55163368,78.01821475,4.39467,0.830683,60.1674995,0.965,1890,7,1604,170,1100,0.15,0.15,1.40882692,9.098477532,1.536045404,465.0730846,10.813,67.635,153.398,110.478,0.404,1.664,150.919,3.758,184.778,4.295,82.111,32.3,15.66721069,71.52282992,12.80995939,5.87013745,952.4201179,213.8132567,0.397744131,62.031,0.841,14.165,7.827,0.1123,4.233,5.391,3.535,1.562,0.252,0.054
AF_T2_100,-68.55092677,78.01973652,2.8712699,0.971487,43.6124992,0.943,4490,8.5,2162,130,910,5441.494157,0.771666601,9.424289515,17.70352536,0.15,1647.881579,4.604,208.451,1237.7,562.459,3.895,6.829,746.344,8.009,498.483,13.721,109.281,52.602,9.256336758,73.39320797,17.35045527,5.208667285,923.875273,228.2368236,0.371324504,60.944,0.832,13.447,8.855,0.1274,4.374,5.55,3.553,1.473,0.2094,0.368
AF_T2_102,-68.55091181,78.0197626,2.83816,0.966972,39.1427994,0.965,1970,7.8,725.3,110,840,0.15,0.15,0.518183894,2.625797231,0.15,0.15,2.139,78.076,2198.39,69.033,1.5,3.346,1687.24,4.787,269.086,3.396,168.614,37.611,4.26686883,90.69567331,5.037457856,13.18864354,1205.348224,376.5920232,0.493812905,62.825,0.857,13.658,8.108,0.1234,4.184,5.375,3.241,1.387,0.1812,0.471
AF_T2_2,-68.55161974,78.01824459,4.36936,0.827833,60.1674995,0.981,4370,8.8,1765,200,1300,4497.398264,0.7527834,2.21492039,11.24349566,3.122120898,2224.571459,14.98,231.955,717.825,345.518,1.192,10.354,865.415,8.058,203.485,17.71,117.13,48.275,12.90850486,80.68880968,6.40268546,5.567517874,984.5865931,215.0918505,0.374857992,60.985,0.872,13.881,8.686,0.1209,4.342,5.298,3.722,1.591,0.2535,0.249
AF_T2_200,-68.55018705,78.02107627,1.7835,0.368925,310.1010132,0.995,922,8.1,767.2,86,580,0.15,0.15,0.81171736,0.76,0.15,681.6020739,2.657,67.236,258.696,97.609,0.883,2.601,209.935,4.29,257.56,5.488,129.212,27.774,3.212770417,90.66285281,6.124376776,13.69079468,1124.606274,347.5678784,0.484614389,62.798,0.887,13.665,8.294,0.1296,4.288,5.339,3.27,1.335,0.177,0.085
AF_T2_202,-68.55017309,78.02110657,1.78224,0.365683,310.1010132,0.998,944,8.2,972.1,76,760,0.15,0.15,0.979079628,6.522176601,1.75732241,204.4619519,4.83,51.982,381.192,146.74,0.916,1.593,67.473,2.322,96.091,9.281,48.581,28.702,3.382315485,89.25736682,7.3603177,23.60211571,1432.832533,441.2767132,0.445538261,64.85,0.645,14.086,6.707,0.1068,3.779,5.267,3.519,1.429,0.1776,0.03
