zotuID,AF_T1_0,AF_T1_100,AF_T1_102,AF_T1_2,AF_T1_200,AF_T1_202,AF_T2_0,AF_T2_100,AF_T2_102,AF_T2_2,AF_T2_200,AF_T2_202,AF_T3_0,AF_T3_100,AF_T3_102,AF_T3_2,AF_T3_200,AF_T3_202,HV_T1_0,HV_T1_100,HV_T1_102,HV_T1_2,HV_T1_200,HV_T1_202,HV_T2_0,HV_T2_100,HV_T2_102,HV_T2_2,HV_T2_200,HV_T2_202,HV_T3_0,HV_T3_100,HV_T3_102,HV_T3_2,HV_T3_200,HV_T3_202,OW_T1_0,OW_T1_100,OW_T1_102,OW_T1_2,OW_T1_200,OW_T1_202,OW_T2_0,OW_T2_100,OW_T2_102,OW_T2_2,OW_T2_200,OW_T2_202,OW_T3_0,OW_T3_100,OW_T3_102,OW_T3_2,OW_T3_200,OW_T3_202,RL_T1_0,RL_T1_100,RL_T1_102,RL_T1_2,RL_T1_200,RL_T1_202,RL_T2_0,RL_T2_100,RL_T2_102,RL_T2_2,RL_T2_200,RL_T2_202,RL_T3_0,RL_T3_100,RL_T3_102,RL_T3_2,RL_T3_200,RL_T3_202
Zotu2,1085,2519,188,477,1523,13,477,1037,17,6933,27,11,22,861,3160,3595,134,5,269,1079,0,1,0,13,228,1,6,216,1763,25939,118,37,0,74,11509,9,767,396,207,15060,333,205,4102,113,1106,49,312,378,45887,322,228,44906,1011,25,499,74256,3283,183,4241,17798,895,58138,14554,2000,2849,3600,204,21743,3851,179,2173,2665
Zotu1,9,10177,5625,17,3557,9599,2195,2889,6031,2871,552,61,292,3729,3707,2056,26,95,297,977,214,1270,538,281,810,879,39,1080,1893,8600,1350,452,267,461,9046,4112,2918,4441,5604,21205,3554,3154,5343,2603,8520,46,312,507,19740,5966,4789,15880,1465,42,1157,32083,339,486,9863,14318,692,17373,6205,1106,4461,6126,234,23687,9995,166,3741,10826
Zotu3,3,522,7,7,180,8,7,121,7,8,287,3,50,182,177,4,358,3,11,19,11,64,0,5,63,8,3,37,12,8,0,19,0,150,20,7,1214,4481,20110,773,1264,134,812,11041,25938,2036,743,1849,489,20314,37682,165,5907,971,15398,7,7,18413,57,8,36321,9,25,16045,8,5,2421,3,4,2521,44,3
Zotu5,4418,13,1433,1820,10,5,906,5,863,1354,34310,11,3542,128,5150,6351,7,3863,550,0,0,0,0,2066,3484,1094,1,2351,0,375,437,0,0,1269,0,10,1673,64,14,1052,442,706,31016,8,13,3963,1645,4345,10,7,17,103,818,5156,665,9,5,798,35,470,77,325,12,275,741,151,1268,3,3,765,2351,1390
Zotu4,621,7185,1074,10,3,9,4903,2071,9,5910,3,3,15,4769,557,6710,237,4,723,873,0,0,0,1413,372,1,0,619,44,6822,2243,126,0,1056,1677,2,7023,362,432,7,1639,5794,11,37,108,11,133,241,1752,366,287,9,147,15,2548,3840,53,1712,6370,15705,1326,397,17,4470,7559,7058,256,6,3,121,6700,6208
Zotu6,3,9249,1635,3,4,7,5,1128,17752,184,4,2,165,1311,2422,311,197,538,1425,0,1,0,0,4722,447,0,1,1332,0,2,799,24,0,735,83,3,738,2106,921,152,16922,3877,527,626,1524,524,1693,4526,11,3793,1042,136,3900,473,740,7,7,687,1823,1546,254,4097,13,1416,662,712,322,5814,4947,70,839,2831
Zotu8,146,91,31,2,282,2,551,286,6,120,484,142,3,262,414,4462,75,60,115,0,0,0,0,8,0,1,3,0,1,4,0,0,0,6,87,0,65,47,6,8,86,18,2,0,63,4,109,1098,367,33,68,5,59,535,15046,73,157,1924,4,382,10958,2779,14,6546,6,3,20136,3,323,36408,26,3
Zotu9,16,4697,2,3,2,2,10,1493,602,6,3,0,5,3827,1,6,2,95,13,0,0,0,0,141,254,0,0,925,0,2,2684,0,0,481,0,2,464,554,2377,1,5059,6482,120,436,2310,517,110,622,3,329,841,3,1161,6,249,5,5,299,2437,3570,411,87,4,784,10119,1432,30,203,83,3,8432,2672
Zotu13,1030,7,3,739,0,2,4,1,817,877,888,0,387,3,0,2362,16951,151,0,0,0,0,0,4,0,0,0,40,0,3,0,1574,6,0,0,0,247,2,0,5,426,265,1,4,6,1738,108,1826,4,6,8,1,160,1935,44,3,28161,126,2,4,7,7,7,17,699,292,1,10,0,196,806,1
Zotu12,260,1523,52,401,86,178,209,749,36,223,936,101,119,916,2,9242,1098,212,0,0,0,0,0,1,0,0,0,0,13,2,0,0,0,0,0,1,6,16,2,5,171,1,2,1,2,2,2,2,6,4,5,144,1,1,7031,294,1111,3715,163,559,13215,2954,7,3101,137,291,1512,546,609,1749,3537,223
