zotuID,Domain,Phylum,Class,Order,Family,Genus
Zotu2,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu1,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu3,Eukaryota,Ochrophyta,Diatomea,Diatomea_unc,Diatomea_unc,Diatomea_unc
Zotu5,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu4,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu6,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu8,Eukaryota,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichales,Urospora
Zotu9,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu13,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu12,Eukaryota,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales,Sphaeropleales_unc
Zotu14,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu11,Eukaryota,Chlorophyta,Ulvophyceae,Ulvophyceae_unc,Ulvophyceae_unc,Ulvophyceae_unc
Zotu17,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu10,Eukaryota,Cercozoa,Cercozoa_unc,Cercozoa_unc,Cercozoa_unc,Cercozoa_unc
Zotu7,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
Zotu19,Eukaryota,Chlorophyta,Chlorophyta_unc,Chlorophyta_unc,Chlorophyta_unc,Chlorophyta_unc
Zotu15,Eukaryota,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinales,Spumella
Zotu27,Eukaryota,Chlorophyta,Chlorophyceae,Incertae_Sedis,Incertae_Sedis,Pleurastrum
Zotu22,Eukaryota,Euk_unc,Euk_unc,Euk_unc,Euk_unc,Euk_unc
